display_template,pref_label,objectid,title,term_type,term_type_uri,vocabulary,vocabulary_uri,definition,usage,history,alternative_form,broader_term,broader_term_objectid,narrower_term,narrower_term_objectid,close_match,close_match_uri,exact_match,exact_match_uri,related_term,related_term_objectid,communities,communities_uri,location,location_uri,language,establish_date,terminate_date,birth_date,death_date,source,publisher,publisher_uri,rights
record,4-H clubs,isut001,4-H clubs,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,,,,,4-H clubs,http://id.loc.gov/authorities/subjects/sh85000002,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Construction engineering,isut002,Construction engineering,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the Construction Engineering program at Iowa State University. This term may supplement or replace close matches in LCSH or other external vocabularies.,,Architectural engineering;Buildings--Design and construction;Construction science,Civil engineering,isut003,,,Building;Structural engineering,http://id.loc.gov/authorities/subjects/sh85017693;http://id.loc.gov/authorities/subjects/sh85129198,,,,,,,,,eng,,,,,ISU Thesaurus working group,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,http://opendatacommons.org/licenses/pddl/1.0/
record,Civil engineering,isut003,Civil engineering,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,Construction engineering,isut002,,,Civil engineering,http://id.loc.gov/authorities/subjects/sh85026331,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Administrative agencies,isut004,Administrative agencies,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,,,,,Administrative agencies,http://id.loc.gov/authorities/subjects/sh85000901,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Baking,isut005,Baking,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,,,,,Baking,http://id.loc.gov/authorities/subjects/sh85011087,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Wildlife research,isut006,Wildlife research,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,Zoology,isut008,,,,,Wildlife research,http://id.loc.gov/authorities/subjects/sh85146760,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Veterinary medicine,isut007,Veterinary medicine,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,,,,,Veterinary medicine,http://id.loc.gov/authorities/subjects/sh85143046,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Zoology,isut008,Zoology,Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Iowa State University thesaurus,https://digital.lib.iastate.edu/vocabs/vocab/vocab002.html,Preferred topical term for use in Iowa State University Library metadata.,Use this term to describe resources about the topic.,,,,,Wildlife research,isut006,,,Zoology,http://id.loc.gov/authorities/subjects/sh85149983,,,,,,,eng,,,,,ISU Thesaurus working group,Library of Congress,http://id.loc.gov/authorities/names/n78089035,http://opendatacommons.org/licenses/pddl/1.0/
record,Anishinaabe (North American people),naip001,Anishinaabe (North American people),Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Preferred subject headings for North American Indigenous people,https://digital.lib.iastate.edu/vocabs/vocab/vocab001.html,Preferred topical term to describe resources about the Anishinaabe people of North America.,"Use this term to supplement or replace close matches in LCSH or other external vocabularies. When assigning this term, also assign the indicated narrower terms if appropriate.","This term is acceptable for describing the Odawa, per an email from a representative of the Little River Band of Ottawa Indians, 2021-07-06. This term also is acceptable for describing the Odawa, Ojibwe, and Bodwéwadmik peoples more broadly, per an email from a representative of the Grand Traverse Band of Ottawa and Chippewa Indians, 2021-09-17.",Algic;Anishinabe;Bawichtigoutek;Bungee;Bungi;Chipouais;Chippewa;Lac Courte Oreilles;Ochepwa;Odjibway;Ojibwa;Ojibwe;Ottawa;Outaouak;Tawa,,,Bodwéwadmik (North American Indigenous peoples);Odawa (North American Indigenous peoples);Ojibwe (North American Indigenous peoples),naip002,Ojibwa Indians;Ottawa Indians;Potawatomi Indians,http://id.loc.gov/authorities/subjects/sh85024423;http://id.loc.gov/authorities/subjects/sh85096087;http://id.loc.gov/authorities/subjects/sh85105669,,,,,Grand Traverse Band of Ottawa and Chippewa Indians;Citizen Potawatomi Nation;Prairie Band Potawatomi Nation;Ottawa Tribe of Oklahoma;Little Traverse Bay Bands of Odawa Indians;Little River Band of Ottawa Indians,http://id.loc.gov/authorities/names/n92047722;http://id.loc.gov/authorities/names/no00067135;http://id.loc.gov/authorities/names/no2015168174;http://id.loc.gov/authorities/names/n2005090821;http://id.loc.gov/authorities/names/no94038144;http://id.loc.gov/authorities/names/no94038151,North America;Iowa;Michigan,http://id.worldcat.org/fast/1242475;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1208387,alg;eng,,,,,"https://lrboi-nsn.gov/, http://www.gtbindians.org/",Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,http://opendatacommons.org/licenses/pddl/1.0/
record,Bodwéwadmik (North American people),naip002,Bodwéwadmik (North American people),Authority;Topic,http://www.loc.gov/mads/rdf/v1#Authority;http://www.loc.gov/mads/rdf/v1#Topic,Preferred subject headings for North American Indigenous peoples,https://digital.lib.iastate.edu/vocabs/vocab/vocab001.html,Preferred topical term to describe resources about the Bodwéwadmik people of North America.,"Use this term to supplement or replace close matches in LCSH or other external vocabularies. When assigning this term, also assign the indicated broader term.","This term is acceptable per emails from representatives of the Prairie Band Potawatomi Nation, 2021-07-12, and the Citizen Potawatomi Nation, 2021-09-20.",Neshnabek;People of the Place of Fire;Potawatomi;Pottawatamie;Pottowatomie;Prairie People;Shkotani,Anishinaabe (North American Indigenous peoples),naip001,,,Potawatomi Indians,http://id.loc.gov/authorities/subjects/sh85105669,,,,,Citizen Potawatomi Nation;Prairie Band Potawatomi Nation,http://id.loc.gov/authorities/names/no00067135;http://id.loc.gov/authorities/names/no2015168174,North America;Iowa;Oklahoma;Kansas,http://id.worldcat.org/fast/1242475;http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1205031;http://id.worldcat.org/fast/1204323,alg;eng,,,,,"https://www.potawatomi.org/, http://www.pbpindiantribe.com/",Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,http://opendatacommons.org/licenses/pddl/1.0/
