objectid,title,display_template,identifier,uri,preferred_form,type,vocabulary,alternative_form,dates,broader_term,narrower_term,close_match,related_term,description,location,language,creator,rights
naip001,Anishinaabe (North American Indigenous peoples),record,naip001,,Anishinaabe (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Ojibwa; Ottawa; Algic; Anishinabe; Bawichtigoutek; Bungee; Bungi; Chipouais; Chippewa; Lac Courte Oreilles; Ochepwa; Odjibway; Ojibwe; Outaouak; Tawa,,,Bodwéwadmik (North American Indigenous peoples); Odawa (North American Indigenous peoples); Ojibwe (North American Indigenous peoples),"<a href=""http://id.loc.gov/authorities/subjects/sh85024423"" target=""_blank"" rel=""noopener"">Ojibwa Indians</a>; <a href=""http://id.loc.gov/authorities/subjects/sh85096087"" target=""_blank"" rel=""noopener"">Ottawa Indians</a>; <a href=""http://id.loc.gov/authorities/subjects/sh85105669"" target=""_blank"" rel=""noopener"">Potawatomi Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable for describing the Odawa, per an email from a representative of the Little River Band of Ottawa Indians, 2021-07-06. This term also is acceptable for describing the Odawa, Ojibwe, and Bodwéwadmik peoples more broadly, per an email from a representative of the Grand Traverse Band of Ottawa and Chippewa Indians, 2021-09-17.",North America; Iowa; Michigan,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip002,Bodwéwadmik (North American Indigenous peoples),record,naip002,,Bodwéwadmik (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Potawatomi; Neshnabek; People of the Place of Fire; Pottawatamie; Pottowatomie; Prairie People; Shkotani,,Anishinaabe (North American Indigenous peoples),,"<a href=""http://id.loc.gov/authorities/subjects/sh85105669"" target=""_blank"" rel=""noopener"">Potawatomi Indians</a>",Odawa (North American Indigenous peoples); Ojibwe (North American Indigenous peoples),"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per emails from representatives of the Prairie Band Potawatomi Nation, 2021-07-12, and the Citizen Potawatomi Nation, 2021-09-20.",North America; Iowa; Oklahoma; Kansas,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip003,Ho-Chunk (North American Indigenous peoples),record,naip003,,Ho-Chunk (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Ho-Chungra; Ho-Chunks; Hocąk; Hocak; Hocank; Hochangara; Hochank; Hochunk; Hoocągra; Ho-Chungra; Nipegon; People of the Sacred Voice; Puant,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85147016"" target=""_blank"" rel=""noopener"">Winnebago Indians</a>; <a href=""http://id.loc.gov/authorities/subjects/sh2004006013"" target=""_blank"" rel=""noopener"">Ho-Chunk Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per an email from a representative of the Ho-Chunk Nation, 2021-09-20.","North America; Iowa; Nebraska, Wisconsin",,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip004,Ioway (North American Indigenous peoples),record,naip004,,Ioway (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Iowa; Baxoje; Bah Koh-Je; Bah-Kho-Je; Báxoǰe; People of the Grey Snow; Iowas,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85067858"" target=""_blank"" rel=""noopener"">Iowa Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per emails from representatives of the Iowa Tribe of Kansas and Nebraska, 2021-09-20, and the Bah Kho-Je: Iowa Tribe of Oklahoma, 2021-08-30. The Bah Kho-Je: Iowa Tribe of Oklahoma officially granted consent for use of this preferred heading.",North America; Iowa; Kansas; Nebraska; Oklahoma,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip005,Jiwere-Nut'achi (North American Indigenous peoples),record,naip005,,Jiwere-Nut'achi (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Oto; Missouri; Jiwere; Missourias; Nutachi; Otoes; Ottoe,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85096040"" target=""_blank"" rel=""noopener"">Oto Indians</a>; <a href=""http://id.loc.gov/authorities/subjects/sh85086233"" target=""_blank"" rel=""noopener"">Missouri Indians</a>",Otoe-Missouria (North American Indigenous peoples),"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term and Otoe-Missouria are acceptable per an email from a representative of the Otoe-Missouria Tribe, 2021-07-12. When assigning this subject heading, also assign Otoe-Missouria (North American Indigenous peoples).",North America; Iowa; Oklahoma,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip006,Kickapoo (North American Indigenous peoples),record,naip006,,Kickapoo (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Kikapú; Kiikaapoa; Kiikaapoi,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85072238"" target=""_blank"" rel=""noopener"">Kickapoo Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match.""",North America; Iowa; Oklahoma; Kansas; Texas; Mexico--Coahuila (State),,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip007,Menominee (North American Indigenous peoples),record,naip007,,Menominee (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Mamaceqtaw; Menomini,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85083587"" target=""_blank"" rel=""noopener"">Menominee Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match.""",North America; Iowa; Wisconsin,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip008,Meskwaki (North American Indigenous peoples),record,naip008,,Meskwaki (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Fox; Sauk; Mesquaki; Mesquakie; Muskwaki; Musquakie; Outagami; Red Earth People; The Red-Earths; Sac; Sa ki wa ki; Sakiwaki; Ne ma ha ha ki; Nemahahaki,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85051119"" target=""_blank"" rel=""noopener"">Fox Indians</a>; <a href=""http://id.loc.gov/authorities/subjects/sh85117717"" target=""_blank"" rel=""noopener"">Sauk Indians (Algonquian)</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per an email from a representative of the Sac and Fox Nation of Missouri in Kansas and Nebraska, 2021-06-24.",North America; Iowa; Oklahoma; Kansas; Nebraska,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip009,Myaamia (North American Indigenous peoples),record,naip009,,Myaamia (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Miami; Twatwa; Twightwee,,,,"<a href=""http://id.loc.gov/authorities/subjects/sh85084652"" target=""_blank"" rel=""noopener"">Miami Indians</a>",,"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per emails from representatives of the Miami Tribe of Oklahoma, 2021-06-28, and the Miami Nation of Indiana, 2021-06-30.",North America; Iowa; Oklahoma; Indiana,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
naip010,Odawa (North American Indigenous peoples),record,naip010,,Odawa (North American Indigenous peoples),Authority; Topic,Preferred subject headings for North American Indigenous peoples,Ottawa; Outaouak; Tawa,,Anishinaabe (North American Indigenous peoples),,"<a href=""http://id.loc.gov/authorities/subjects/sh85096087"" target=""_blank"" rel=""noopener"">Ottawa Indians</a>",Bodwéwadmik (North American Indigenous peoples); Ojibwe (North American Indigenous peoples),"Preferred topical term to supplement or replace Library of Congress subject headings (LCSH) listed under ""Close match."" This term is acceptable per emails from representatives of the Little River Band of Ottawa Indians, 2021-07-06, and the Little Traverse Bay Bands of Odawa Indians, 2021-07-06. When assigning this subject heading, also assign Anishinaabe (North American Indigenous peoples).",North America; Iowa; Oklahoma; Michigan,,"<a href=""http://id.loc.gov/authorities/names/n82160893"" target=""_blank"" rel=""noopener"">Iowa State University. Library</a>",https://creativecommons.org/publicdomain/zero/1.0/
